contribution_id,user_id,type,category,description,location,status
423,196,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
424,125,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
425,228,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
426,282,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
427,206,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
428,6,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
429,120,DONATION,Food,I want to offer support related to food for people in need,Madurai,CLOSED
430,85,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
431,77,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
432,55,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
433,277,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
434,91,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
435,160,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
436,101,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
437,17,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
438,11,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
439,255,DONATION,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
440,26,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
441,163,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
442,217,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
443,135,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
444,88,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
445,252,DONATION,Food,I want to offer support related to food for people in need,Madurai,CLOSED
446,117,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
447,61,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
448,12,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
449,26,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
450,41,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
451,31,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
452,114,DONATION,Food,I want to offer support related to food for people in need,Trichy,CLOSED
453,123,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
454,215,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
455,155,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
456,2,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
457,34,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
458,43,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
459,89,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
460,184,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
461,150,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
462,164,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
463,16,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
464,261,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
465,163,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
466,15,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
467,37,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
468,141,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
469,160,SERVICE,Education,I want to offer support related to education for people in need,Trichy,CLOSED
470,240,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
471,223,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
472,263,DONATION,Education,I want to offer support related to education for people in need,Chennai,CLOSED
473,159,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
474,30,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
475,164,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
476,99,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
477,89,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
478,135,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
479,18,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
480,137,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
481,163,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
482,159,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
483,239,SERVICE,Education,I want to offer support related to education for people in need,Trichy,CLOSED
484,287,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
485,208,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
486,188,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
487,181,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
488,23,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
489,295,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
490,196,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
491,42,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
492,130,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
493,151,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
494,271,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
495,99,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
496,259,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
497,48,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
498,73,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
499,23,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
500,284,DONATION,Food,I want to offer support related to food for people in need,Madurai,OPEN
501,267,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
502,221,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
503,1,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
504,78,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
505,205,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
506,186,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
507,219,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
508,170,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
509,97,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
510,91,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
511,285,SERVICE,Education,I want to offer support related to education for people in need,Trichy,CLOSED
512,239,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
513,78,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
514,153,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
515,81,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
516,137,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
517,281,SERVICE,Food,I want to offer support related to food for people in need,Trichy,OPEN
518,174,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
519,9,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
520,241,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
521,33,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
522,4,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
523,292,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
524,173,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
525,21,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
526,84,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
527,138,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
528,150,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
529,137,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
530,176,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
531,231,DONATION,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
532,6,DONATION,Food,I want to offer support related to food for people in need,Chennai,CLOSED
533,188,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
534,133,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
535,143,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
536,286,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
537,50,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
538,278,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
539,175,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
540,47,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
541,299,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
542,104,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
543,99,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
544,144,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
545,86,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
546,43,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
547,84,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
548,271,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
549,15,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
550,59,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
551,11,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
552,247,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
553,233,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
554,60,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
555,74,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
556,133,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
557,87,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
558,265,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
559,15,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
560,53,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
561,80,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
562,39,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
563,207,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
564,86,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
565,96,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
566,119,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
567,299,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
568,46,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
569,114,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
570,216,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
571,228,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
572,101,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
573,113,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
574,207,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
575,131,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
576,62,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
577,248,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
578,123,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
579,132,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
580,44,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
581,1,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
582,289,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
583,239,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
584,62,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
585,80,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
586,7,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
587,279,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
588,213,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
589,133,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
590,166,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
591,167,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
592,85,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
593,202,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
594,162,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
595,166,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
596,36,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
597,68,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
598,36,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
599,49,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
600,159,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
601,23,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
602,298,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
603,66,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
604,234,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
605,91,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
606,45,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
607,36,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
608,282,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
609,237,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
610,45,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
611,102,SERVICE,Food,I want to offer support related to food for people in need,Trichy,CLOSED
612,203,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
613,88,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
614,134,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
615,132,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
616,218,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
617,69,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
618,12,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
619,174,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
620,276,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
621,121,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
622,189,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
623,128,DONATION,Food,I want to offer support related to food for people in need,Madurai,OPEN
624,55,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
625,294,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
626,140,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
627,51,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
628,233,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
629,299,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
630,223,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
631,224,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
632,180,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
633,59,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
634,40,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
635,92,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
636,50,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
637,77,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
638,136,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
639,24,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
640,186,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
641,102,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
642,176,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
643,127,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
644,191,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
645,273,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
646,96,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
647,28,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
648,49,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
649,140,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
650,188,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
651,69,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
652,1,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
653,144,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
654,91,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
655,102,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
656,22,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
657,297,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
658,192,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
659,118,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
660,50,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
661,44,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
662,134,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
663,20,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
664,150,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
665,196,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
666,129,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
667,210,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
668,116,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
669,15,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
670,108,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
671,180,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
672,293,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
673,262,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
674,128,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
675,245,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
676,265,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
677,212,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
678,132,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
679,243,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
680,94,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
681,61,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
682,232,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
683,278,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
684,165,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
685,281,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
686,125,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
687,64,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
688,167,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
689,139,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
690,220,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
691,158,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
692,244,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
693,255,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
694,209,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
695,227,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
696,20,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
697,147,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
698,214,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
699,32,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
700,144,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
701,216,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
702,249,SERVICE,Education,I want to offer support related to education for people in need,Trichy,CLOSED
703,106,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
704,262,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
705,24,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
706,223,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
707,161,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
708,11,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
709,198,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
710,101,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
711,261,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
712,14,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
713,71,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
714,8,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
715,252,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
716,172,SERVICE,Food,I want to offer support related to food for people in need,Trichy,OPEN
717,67,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
718,127,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
719,238,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
720,111,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
721,69,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
722,107,SERVICE,Education,I want to offer support related to education for people in need,Chennai,CLOSED
723,70,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
724,91,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
725,135,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
726,211,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
727,198,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
728,230,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
729,271,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
730,118,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
731,282,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
732,249,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
733,226,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
734,130,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
735,252,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
736,187,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
737,119,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
738,80,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
739,118,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
740,279,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
741,26,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
742,172,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
743,92,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
744,66,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
745,225,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
746,156,SERVICE,Food,I want to offer support related to food for people in need,Trichy,OPEN
747,232,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
748,291,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
749,257,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
750,85,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
751,47,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
752,75,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
753,172,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
754,70,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
755,251,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
756,26,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
757,296,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
758,248,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
759,110,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
760,34,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
761,203,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
